Epic,Domain,Task,Priority,Size,Owner,Reference
EPIC-11,Documents,Implement retention and object backup/restore,P0,XL,Codex,docs/27_OBSERVABILITY_BACKUP_AND_INCIDENT_RESPONSE.md
EPIC-12,Courses,"Build free course catalog, lessons and progress",P1,XL,Codex,docs/19_COURSES_AND_PRIVATE_COMMUNITY.md
EPIC-12,Courses,Implement private assets and accessible media,P1,L,Codex,docs/19_COURSES_AND_PRIVATE_COMMUNITY.md
EPIC-13,Community,Build text-only posts/comments/reactions/reporting,P1,XL,Codex,docs/19_COURSES_AND_PRIVATE_COMMUNITY.md
EPIC-13,Community,"Build moderation, bans and appeals",P1,XL,Codex,docs/19_COURSES_AND_PRIVATE_COMMUNITY.md
EPIC-14,AI,Build approved-content indexing and retrieval pipeline,P1,XL,Codex,docs/20_AI_ASSISTANT_SAFETY_AND_RAG.md
EPIC-14,AI,"Build cited RAG chat, abstention and handoff",P1,XL,Codex,docs/20_AI_ASSISTANT_SAFETY_AND_RAG.md
EPIC-14,AI,"Implement PII controls, quotas, evaluations and kill switch",P0,XL,Codex,docs/20_AI_ASSISTANT_SAFETY_AND_RAG.md
EPIC-15,PWA/SEO,Implement safe PWA caching and offline public shell,P1,L,Codex,docs/21_PWA_PERFORMANCE_AND_SEO.md
EPIC-15,PWA/SEO,"Implement metadata, hreflang, sitemap and robots",P1,M,Codex,docs/21_PWA_PERFORMANCE_AND_SEO.md
EPIC-15,Performance,Meet performance budgets on low-end mobile,P0,L,Codex,docs/21_PWA_PERFORMANCE_AND_SEO.md
EPIC-16,Security,Complete RLS role matrix and SQL tests,P0,XL,Codex,docs/23_TESTING_AND_QA_STRATEGY.md
EPIC-16,Security,"Implement CSP, headers, rate limits and bot protection",P0,XL,Codex,docs/13_SECURITY_THREAT_MODEL.md
EPIC-16,Security,Implement structured redacted logging and alerts,P0,L,Codex,docs/27_OBSERVABILITY_BACKUP_AND_INCIDENT_RESPONSE.md
EPIC-16,Security,Complete ASVS review and external pentest,P0,XL,Owner/Vendor,checklists/SECURITY_CHECKLIST.md
EPIC-17,Legal/content,"Complete legal entity, policies and provider contracts",P0,XL,Owner/Lawyer,docs/28_PRIVACY_LEGAL_AND_COMPLIANCE_CHECKLIST.md
EPIC-17,Legal/content,Research and review all four countries in Kreyòl,P0,XL,Editorial/Legal,docs/35_CONTENT_SEED_AND_RESEARCH_GUIDE.md
EPIC-18,Launch,Run accessibility testing with Haitian users and elders,P0,XL,Owner/QA,checklists/LAUNCH_CHECKLIST.md
EPIC-18,Launch,"Restore drill, incident exercise and gradual flag rollout",P0,L,Codex/Owner,docs/27_OBSERVABILITY_BACKUP_AND_INCIDENT_RESPONSE.md
EPIC-18,Launch,Produce completion report with evidence and blockers,P0,M,Codex,checklists/CODEX_COMPLETION_CHECKLIST.md
